texto_para_embedding
"Relatório de Operações: Na semana de 05-02-2010, a Loja 1 teve um faturamento de $1,643,690.90. Foi uma semana comercial comum, sem feriados. Fatores macroeconômicos e climáticos da região nesta semana: Temperatura média de 5.7°C, combustível custando $2.572, inflação (CPI) na marca de 211.0963582 e taxa de desemprego de 8.106%."
"Relatório de Operações: Na semana de 12-02-2010, a Loja 1 teve um faturamento de $1,641,957.44. Foi uma semana de feriado geral. Fatores macroeconômicos e climáticos da região nesta semana: Temperatura média de 3.6°C, combustível custando $2.548, inflação (CPI) na marca de 211.2421698 e taxa de desemprego de 8.106%."
"Relatório de Operações: Na semana de 19-02-2010, a Loja 1 teve um faturamento de $1,611,968.17. Foi uma semana comercial comum, sem feriados. Fatores macroeconômicos e climáticos da região nesta semana: Temperatura média de 4.4°C, combustível custando $2.514, inflação (CPI) na marca de 211.2891429 e taxa de desemprego de 8.106%."
"Relatório de Operações: Na semana de 26-02-2010, a Loja 1 teve um faturamento de $1,409,727.59. Foi uma semana comercial comum, sem feriados. Fatores macroeconômicos e climáticos da região nesta semana: Temperatura média de 8.1°C, combustível custando $2.561, inflação (CPI) na marca de 211.3196429 e taxa de desemprego de 8.106%."
"Relatório de Operações: Na semana de 05-03-2010, a Loja 1 teve um faturamento de $1,554,806.68. Foi uma semana comercial comum, sem feriados. Fatores macroeconômicos e climáticos da região nesta semana: Temperatura média de 8.1°C, combustível custando $2.625, inflação (CPI) na marca de 211.3501429 e taxa de desemprego de 8.106%."
"Relatório de Operações: Na semana de 12-03-2010, a Loja 1 teve um faturamento de $1,439,541.59. Foi uma semana comercial comum, sem feriados. Fatores macroeconômicos e climáticos da região nesta semana: Temperatura média de 14.3°C, combustível custando $2.667, inflação (CPI) na marca de 211.3806429 e taxa de desemprego de 8.106%."
"Relatório de Operações: Na semana de 19-03-2010, a Loja 1 teve um faturamento de $1,472,515.79. Foi uma semana comercial comum, sem feriados. Fatores macroeconômicos e climáticos da região nesta semana: Temperatura média de 12.5°C, combustível custando $2.72, inflação (CPI) na marca de 211.215635 e taxa de desemprego de 8.106%."
"Relatório de Operações: Na semana de 26-03-2010, a Loja 1 teve um faturamento de $1,404,429.92. Foi uma semana comercial comum, sem feriados. Fatores macroeconômicos e climáticos da região nesta semana: Temperatura média de 10.8°C, combustível custando $2.732, inflação (CPI) na marca de 211.0180424 e taxa de desemprego de 8.106%."
"Relatório de Operações: Na semana de 02-04-2010, a Loja 1 teve um faturamento de $1,594,968.28. Foi uma semana comercial comum, sem feriados. Fatores macroeconômicos e climáticos da região nesta semana: Temperatura média de 16.8°C, combustível custando $2.719, inflação (CPI) na marca de 210.8204499 e taxa de desemprego de 7.808%."
"Relatório de Operações: Na semana de 09-04-2010, a Loja 1 teve um faturamento de $1,545,418.53. Foi uma semana comercial comum, sem feriados. Fatores macroeconômicos e climáticos da região nesta semana: Temperatura média de 18.8°C, combustível custando $2.77, inflação (CPI) na marca de 210.6228574 e taxa de desemprego de 7.808%."
"Relatório de Operações: Na semana de 16-04-2010, a Loja 1 teve um faturamento de $1,466,058.28. Foi uma semana comercial comum, sem feriados. Fatores macroeconômicos e climáticos da região nesta semana: Temperatura média de 19.1°C, combustível custando $2.808, inflação (CPI) na marca de 210.4887 e taxa de desemprego de 7.808%."
"Relatório de Operações: Na semana de 23-04-2010, a Loja 1 teve um faturamento de $1,391,256.12. Foi uma semana comercial comum, sem feriados. Fatores macroeconômicos e climáticos da região nesta semana: Temperatura média de 18.2°C, combustível custando $2.795, inflação (CPI) na marca de 210.4391228 e taxa de desemprego de 7.808%."
"Relatório de Operações: Na semana de 30-04-2010, a Loja 1 teve um faturamento de $1,425,100.71. Foi uma semana comercial comum, sem feriados. Fatores macroeconômicos e climáticos da região nesta semana: Temperatura média de 19.7°C, combustível custando $2.78, inflação (CPI) na marca de 210.3895456 e taxa de desemprego de 7.808%."
"Relatório de Operações: Na semana de 07-05-2010, a Loja 1 teve um faturamento de $1,603,955.12. Foi uma semana comercial comum, sem feriados. Fatores macroeconômicos e climáticos da região nesta semana: Temperatura média de 22.5°C, combustível custando $2.835, inflação (CPI) na marca de 210.3399684 e taxa de desemprego de 7.808%."
"Relatório de Operações: Na semana de 14-05-2010, a Loja 1 teve um faturamento de $1,494,251.50. Foi uma semana comercial comum, sem feriados. Fatores macroeconômicos e climáticos da região nesta semana: Temperatura média de 23.8°C, combustível custando $2.854, inflação (CPI) na marca de 210.3374261 e taxa de desemprego de 7.808%."
"Relatório de Operações: Na semana de 21-05-2010, a Loja 1 teve um faturamento de $1,399,662.07. Foi uma semana comercial comum, sem feriados. Fatores macroeconômicos e climáticos da região nesta semana: Temperatura média de 24.7°C, combustível custando $2.826, inflação (CPI) na marca de 210.6170934 e taxa de desemprego de 7.808%."
"Relatório de Operações: Na semana de 28-05-2010, a Loja 1 teve um faturamento de $1,432,069.95. Foi uma semana comercial comum, sem feriados. Fatores macroeconômicos e climáticos da região nesta semana: Temperatura média de 26.9°C, combustível custando $2.759, inflação (CPI) na marca de 210.8967606 e taxa de desemprego de 7.808%."
"Relatório de Operações: Na semana de 04-06-2010, a Loja 1 teve um faturamento de $1,615,524.71. Foi uma semana comercial comum, sem feriados. Fatores macroeconômicos e climáticos da região nesta semana: Temperatura média de 27.1°C, combustível custando $2.705, inflação (CPI) na marca de 211.1764278 e taxa de desemprego de 7.808%."
"Relatório de Operações: Na semana de 11-06-2010, a Loja 1 teve um faturamento de $1,542,561.09. Foi uma semana comercial comum, sem feriados. Fatores macroeconômicos e climáticos da região nesta semana: Temperatura média de 26.9°C, combustível custando $2.668, inflação (CPI) na marca de 211.4560951 e taxa de desemprego de 7.808%."
"Relatório de Operações: Na semana de 18-06-2010, a Loja 1 teve um faturamento de $1,503,284.06. Foi uma semana comercial comum, sem feriados. Fatores macroeconômicos e climáticos da região nesta semana: Temperatura média de 28.9°C, combustível custando $2.637, inflação (CPI) na marca de 211.4537719 e taxa de desemprego de 7.808%."
